scope,task_type,task_name_repo,task_name_encompass,status,field,repo_value,encompass_value,repo_file,encompass_file
subtask,Underwriting_PostUnderwriting_HOIReview,HOI Review,HOI Review,ENCOMPASS_ONLY,HOI Review – Review Deductibles,,Review Deductibles – Review deductible amounts to ensure they meet lender guidelines; flag any deductible exceeding the allowable threshold,tasks/3_underwriting/post_underwriting/hoi_review_v1.xml,tasks4.xml
task,Underwriting_PostUnderwriting_OrderHOI,Order HOI,Order HOI,BOTH,duration,15,4,tasks/3_underwriting/post_underwriting/order_hoi_v1.xml,task5.xml
task,Underwriting_PostUnderwriting_OrderHOI,Order HOI,Order HOI,BOTH,durationFormat,Minute,Hour,tasks/3_underwriting/post_underwriting/order_hoi_v1.xml,task5.xml
association,Underwriting_PostUnderwriting_OrderHOI,Order HOI,Order HOI,REPO_ONLY,workspace,OrderHOI,,tasks/3_underwriting/post_underwriting/order_hoi_v1.xml,task5.xml
association,Underwriting_Resubmittal_ReviewAppraisal,Review Appraisal,Review Appraisal,ENCOMPASS_ONLY,Assignee,,Task - Appraisal Reviews,tasks/3_underwriting/resubmittal/review_appraisal_v1.xml,tasks3.xml
association,Underwriting_Resubmittal_ReviewAppraisal,Review Appraisal,Review Appraisal,ENCOMPASS_ONLY,workspace,,Appraisal Review,tasks/3_underwriting/resubmittal/review_appraisal_v1.xml,tasks3.xml
association,Underwriting_Resubmittal_ReviewAppraisalSecondReview,Review Appraisal – Second Review,Review Appraisal – Second Review,ENCOMPASS_ONLY,Assignee,,Task - Appraisal Reviews,tasks/3_underwriting/resubmittal/review_appraisal_second_review_v1.xml,tasks3.xml
association,Underwriting_Resubmittal_ReviewAppraisalSecondReview,Review Appraisal – Second Review,Review Appraisal – Second Review,ENCOMPASS_ONLY,workspace,,Appraisal Review,tasks/3_underwriting/resubmittal/review_appraisal_second_review_v1.xml,tasks3.xml
task,Underwriting_Resubmittal_ReviewPAR,Review PAR,Review PAR (1st Review),BOTH,name,Review PAR,Review PAR (1st Review),tasks/3_underwriting/resubmittal/review_par_v1.xml,tasks3.xml
association,Underwriting_Resubmittal_ReviewPAR,Review PAR,Review PAR (1st Review),ENCOMPASS_ONLY,Assignee,,Underwriter,tasks/3_underwriting/resubmittal/review_par_v1.xml,tasks3.xml
association,Underwriting_Resubmittal_ReviewPAR,Review PAR,Review PAR (1st Review),ENCOMPASS_ONLY,workspace,,Appraisal Review,tasks/3_underwriting/resubmittal/review_par_v1.xml,tasks3.xml
association,Underwriting_Resubmittal_ReviewPAR,Review PAR,Review PAR (1st Review),REPO_ONLY,Assignee,Loan Processor,,tasks/3_underwriting/resubmittal/review_par_v1.xml,tasks3.xml
association,Underwriting_Resubmittal_ReviewPAR,Review PAR,Review PAR (1st Review),REPO_ONLY,workspace,ReviewPAR,,tasks/3_underwriting/resubmittal/review_par_v1.xml,tasks3.xml
association,Underwriting_Resubmittal_SendAppraisal,Send Appraisal,Send Appraisal,ENCOMPASS_ONLY,Assignee,,Task - Appraisal Reviews,tasks/3_underwriting/resubmittal/send_appraisal_v1.xml,tasks3.xml
association,Underwriting_Resubmittal_SendAppraisal,Send Appraisal,Send Appraisal,ENCOMPASS_ONLY,workspace,,Appraisal Review,tasks/3_underwriting/resubmittal/send_appraisal_v1.xml,tasks3.xml
association,Underwriting_Resubmittal_TitleOwnershipReport,Title (Ownership Report),Title (Ownership Report),REPO_ONLY,workspace,TitleOwnershipReport,,tasks/3_underwriting/resubmittal/title_ownership_report_v1.xml,tasks4.xml
task,Underwriting_Submittal_Underwrite,Underwrite,Underwrite,BOTH,autocomplete,false,true,tasks/3_underwriting/submittal/underwrite_v1.xml,tasks3.xml
task,Underwriting_Submittal_Underwrite,Underwrite,Underwrite,BOTH,taskGroupTemplateName,Underwriting - Submittal,,tasks/3_underwriting/submittal/underwrite_v1.xml,tasks3.xml
association,Underwriting_Submittal_Underwrite,Underwrite,Underwrite,ENCOMPASS_ONLY,workspace,,Decision Flow,tasks/3_underwriting/submittal/underwrite_v1.xml,tasks3.xml
